BehaviorSpace results (NetLogo 6.1.1)
tp_Melhorado.nlogo
hipotese1_e10_20/20
11/12/2021 02:04:47:835 +0000
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-16,""16"",""-16"",""16"""
"[run number],""1"",""1"",""1"",""2"",""2"",""2"",""3"",""3"",""3"",""4"",""4"",""4"",""5"",""5"",""5"",""6"",""6"",""6"",""7"",""7"",""7"",""8"",""8"",""8"",""9"",""9"",""9"",""10"",""10"",""10"",""11"",""11"",""11"",""12"",""12"",""12"",""13"",""13"",""13"",""14"",""14"",""14"",""15"",""15"",""15"",""16"",""16"",""16"",""17"",""17"",""17"",""18"",""18"",""18"",""19"",""19"",""19"",""20"",""20"",""20"",""21"",""21"",""21"",""22"",""22"",""22"",""23"",""23"",""23"",""24"",""24"",""24"",""25"",""25"",""25"",""26"",""26"",""26"",""27"",""27"",""27"",""28"",""28"",""28"",""29"",""29"",""29"",""30"",""30"",""30"",""31"",""31"",""31"",""32"",""32"",""32"",""33"",""33"",""33"",""34"",""34"",""34"",""35"",""35"",""35"",""36"",""36"",""36"",""37"",""37"",""37"",""38"",""38"",""38"",""39"",""39"",""39"",""40"",""40"",""40"",""41"",""41"",""41"",""42"",""42"",""42"",""43"",""43"",""43"",""44"",""44"",""44"",""45"",""45"",""45"",""46"",""46"",""46"",""47"",""47"",""47"",""48"",""48"",""48"",""49"",""49"",""49"",""50"",""50"",""50"""
"[final],""0"",""20"",""999"",""0"",""18"",""999"",""1"",""20"",""999"",""0"",""20"",""999"",""0"",""19"",""999"",""1"",""19"",""999"",""0"",""20"",""999"",""0"",""19"",""999"",""0"",""19"",""999"",""0"",""19"",""999"",""1"",""20"",""999"",""1"",""20"",""999"",""4"",""20"",""999"",""1"",""20"",""999"",""2"",""20"",""999"",""3"",""20"",""999"",""0"",""20"",""999"",""5"",""20"",""999"",""0"",""20"",""999"",""1"",""20"",""999"",""10"",""20"",""999"",""8"",""20"",""999"",""9"",""20"",""999"",""7"",""20"",""999"",""7"",""20"",""999"",""8"",""20"",""999"",""10"",""20"",""999"",""9"",""20"",""999"",""9"",""20"",""999"",""9"",""20"",""999"",""13"",""20"",""999"",""9"",""20"",""999"",""13"",""20"",""999"",""9"",""20"",""999"",""9"",""20"",""999"",""13"",""20"",""999"",""13"",""20"",""999"",""12"",""20"",""999"",""16"",""20"",""999"",""12"",""20"",""999"",""14"",""20"",""999"",""15"",""20"",""999"",""13"",""20"",""999"",""12"",""20"",""999"",""13"",""20"",""999"",""12"",""20"",""999"",""13"",""20"",""999"",""16"",""20"",""999"",""13"",""20"",""999"",""16"",""20"",""999"""
"[min],""0"",""20"",""0"",""0"",""18"",""0"",""1"",""20"",""0"",""0"",""20"",""0"",""0"",""19"",""0"",""1"",""19"",""0"",""0"",""20"",""0"",""0"",""19"",""0"",""0"",""19"",""0"",""0"",""19"",""0"",""1"",""20"",""0"",""1"",""20"",""0"",""4"",""20"",""0"",""1"",""20"",""0"",""2"",""20"",""0"",""3"",""20"",""0"",""0"",""20"",""0"",""5"",""20"",""0"",""0"",""20"",""0"",""1"",""20"",""0"",""10"",""20"",""0"",""8"",""20"",""0"",""9"",""20"",""0"",""7"",""20"",""0"",""7"",""20"",""0"",""8"",""20"",""0"",""10"",""20"",""0"",""9"",""20"",""0"",""9"",""20"",""0"",""9"",""20"",""0"",""13"",""20"",""0"",""9"",""20"",""0"",""13"",""20"",""0"",""9"",""20"",""0"",""9"",""20"",""0"",""13"",""20"",""0"",""13"",""20"",""0"",""12"",""20"",""0"",""16"",""20"",""0"",""12"",""20"",""0"",""14"",""20"",""0"",""15"",""20"",""0"",""13"",""20"",""0"",""12"",""20"",""0"",""13"",""20"",""0"",""12"",""20"",""0"",""13"",""20"",""0"",""16"",""20"",""0"",""13"",""20"",""0"",""16"",""20"",""0"""
"[max],""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"""
"[mean],""4.499"",""20"",""499.5"",""4.778"",""19.215"",""499.5"",""6.101"",""20"",""499.5"",""6.332"",""20"",""499.5"",""4.367"",""19.381"",""499.5"",""5.627"",""19.744"",""499.5"",""4.558"",""20"",""499.5"",""3.169"",""19.779"",""499.5"",""3.385"",""19.756"",""499.5"",""4.368"",""19.892"",""499.5"",""10.326"",""20"",""499.5"",""9.969"",""20"",""499.5"",""8.268"",""20"",""499.5"",""6.075"",""20"",""499.5"",""6.75"",""20"",""499.5"",""9.669"",""20"",""499.5"",""8.426"",""20"",""499.5"",""11.558"",""20"",""499.5"",""6.222"",""20"",""499.5"",""7.633"",""20"",""499.5"",""15.548"",""20"",""499.5"",""12.097"",""20"",""499.5"",""13.079"",""20"",""499.5"",""11.134"",""20"",""499.5"",""13.316"",""20"",""499.5"",""12.859"",""20"",""499.5"",""14.02"",""20"",""499.5"",""14.643"",""20"",""499.5"",""15.001"",""20"",""499.5"",""13.596"",""20"",""499.5"",""17.536"",""20"",""499.5"",""14.169"",""20"",""499.5"",""16.658"",""20"",""499.5"",""13.59"",""20"",""499.5"",""14.007"",""20"",""499.5"",""17.009"",""20"",""499.5"",""14.157"",""20"",""499.5"",""14.914"",""20"",""499.5"",""17.796"",""20"",""499.5"",""14.865"",""20"",""499.5"",""16.283"",""20"",""499.5"",""16.429"",""20"",""499.5"",""14.56"",""20"",""499.5"",""14.995"",""20"",""499.5"",""16.834"",""20"",""499.5"",""15.18"",""20"",""499.5"",""15.683"",""20"",""499.5"",""17.748"",""20"",""499.5"",""16.977"",""20"",""499.5"",""16.65"",""20"",""499.5"""
"[steps],""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"""

"[all run data],""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"""
",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"""
",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"""
",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""19"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"""
",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""19"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"""
",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""19"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"""
",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""19"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""19"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"""
",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""19"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""19"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""19"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"""
