BehaviorSpace results (NetLogo 6.1.1)
tpV2.nlogo
hipotese3_d5_20_20
11/11/2021 13:25:05:536 +0000
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-16,""16"",""-16"",""16"""
"[run number],""1"",""1"",""1"",""2"",""2"",""2"",""3"",""3"",""3"",""4"",""4"",""4"",""5"",""5"",""5"",""6"",""6"",""6"",""7"",""7"",""7"",""8"",""8"",""8"",""9"",""9"",""9"",""10"",""10"",""10"",""11"",""11"",""11"",""12"",""12"",""12"",""13"",""13"",""13"",""14"",""14"",""14"",""15"",""15"",""15"",""16"",""16"",""16"",""17"",""17"",""17"",""18"",""18"",""18"",""19"",""19"",""19"",""20"",""20"",""20"",""21"",""21"",""21"",""22"",""22"",""22"",""23"",""23"",""23"",""24"",""24"",""24"",""25"",""25"",""25"",""26"",""26"",""26"",""27"",""27"",""27"",""28"",""28"",""28"",""29"",""29"",""29"",""30"",""30"",""30"",""31"",""31"",""31"",""32"",""32"",""32"",""33"",""33"",""33"",""34"",""34"",""34"",""35"",""35"",""35"",""36"",""36"",""36"",""37"",""37"",""37"",""38"",""38"",""38"",""39"",""39"",""39"",""40"",""40"",""40"",""41"",""41"",""41"",""42"",""42"",""42"",""43"",""43"",""43"",""44"",""44"",""44"",""45"",""45"",""45"",""46"",""46"",""46"",""47"",""47"",""47"",""48"",""48"",""48"",""49"",""49"",""49"",""50"",""50"",""50"""
"[min],""0"",""20"",""0"",""0"",""20"",""0"",""0"",""19"",""0"",""1"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""19"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""1"",""20"",""0"",""4"",""20"",""0"",""5"",""20"",""0"",""6"",""20"",""0"",""5"",""20"",""0"",""1"",""20"",""0"",""8"",""20"",""0"",""3"",""20"",""0"",""1"",""20"",""0"",""4"",""20"",""0"",""6"",""17"",""0"",""9"",""20"",""0"",""10"",""20"",""0"",""12"",""20"",""0"",""11"",""20"",""0"",""12"",""20"",""0"",""10"",""20"",""0"",""11"",""20"",""0"",""10"",""20"",""0"",""7"",""20"",""0"",""8"",""20"",""0"",""10"",""20"",""0"",""12"",""20"",""0"",""12"",""20"",""0"",""10"",""20"",""0"",""8"",""20"",""0"",""11"",""20"",""0"",""15"",""20"",""0"",""11"",""20"",""0"",""10"",""20"",""0"",""11"",""20"",""0"",""10"",""20"",""0"",""15"",""20"",""0"",""13"",""20"",""0"",""15"",""20"",""0"",""14"",""20"",""0"",""12"",""20"",""0"",""14"",""20"",""0"",""11"",""20"",""0"",""15"",""20"",""0"",""11"",""20"",""0"""
"[max],""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"",""20"",""20"",""999"""
"[mean],""4.127"",""20"",""499.5"",""7.537"",""20"",""499.5"",""4.275"",""19.718"",""499.5"",""4.992"",""20"",""499.5"",""3.873"",""20"",""499.5"",""7.649"",""20"",""499.5"",""5.256"",""19.303"",""499.5"",""6.323"",""20"",""499.5"",""5.91"",""20"",""499.5"",""6.253"",""20"",""499.5"",""9.744"",""20"",""499.5"",""11.675"",""20"",""499.5"",""12.208"",""20"",""499.5"",""12.392"",""20"",""499.5"",""9.142"",""20"",""499.5"",""12.073"",""20"",""499.5"",""8.097"",""20"",""499.5"",""8.833"",""20"",""499.5"",""11.395"",""20"",""499.5"",""13.092"",""18.563"",""499.5"",""13.257"",""20"",""499.5"",""13.792"",""20"",""499.5"",""16.104"",""20"",""499.5"",""14.212"",""20"",""499.5"",""15.589"",""20"",""499.5"",""12.686"",""20"",""499.5"",""14.924"",""20"",""499.5"",""14.663"",""20"",""499.5"",""14.175"",""20"",""499.5"",""12.634"",""20"",""499.5"",""13.725"",""20"",""499.5"",""14.619"",""20"",""499.5"",""15.936"",""20"",""499.5"",""13.772"",""20"",""499.5"",""13.37"",""20"",""499.5"",""14.035"",""20"",""499.5"",""16.268"",""20"",""499.5"",""16.497"",""20"",""499.5"",""13.454"",""20"",""499.5"",""14.229"",""20"",""499.5"",""15.207"",""20"",""499.5"",""17.319"",""20"",""499.5"",""15.296"",""20"",""499.5"",""17.698"",""20"",""499.5"",""16.907"",""20"",""499.5"",""15.425"",""20"",""499.5"",""16.303"",""20"",""499.5"",""14.568"",""20"",""499.5"",""17.493"",""20"",""499.5"",""15.207"",""20"",""499.5"""
"[steps],""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"""

"[all run data],""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"""
",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"",""20"",""20"",""0"""
",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"",""20"",""20"",""1"""
",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"",""20"",""20"",""2"""
",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"",""20"",""20"",""3"""
",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"",""20"",""20"",""4"""
",""19"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""19"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"",""20"",""20"",""5"""
",""19"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""19"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"",""20"",""20"",""6"""
