BehaviorSpace results (NetLogo 6.1.1)
tpV2.nlogo
hipotese2_10/20
11/10/2021 23:12:04:588 +0000
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-16,""16"",""-16"",""16"""
"[run number],""1"",""1"",""1"",""2"",""2"",""2"",""3"",""3"",""3"",""4"",""4"",""4"",""5"",""5"",""5"",""6"",""6"",""6"",""7"",""7"",""7"",""8"",""8"",""8"",""9"",""9"",""9"",""10"",""10"",""10"",""11"",""11"",""11"",""12"",""12"",""12"",""13"",""13"",""13"",""14"",""14"",""14"",""15"",""15"",""15"",""16"",""16"",""16"",""17"",""17"",""17"",""18"",""18"",""18"",""19"",""19"",""19"",""20"",""20"",""20"",""21"",""21"",""21"",""22"",""22"",""22"",""23"",""23"",""23"",""24"",""24"",""24"",""25"",""25"",""25"",""26"",""26"",""26"",""27"",""27"",""27"",""28"",""28"",""28"",""29"",""29"",""29"",""30"",""30"",""30"",""31"",""31"",""31"",""32"",""32"",""32"",""33"",""33"",""33"",""34"",""34"",""34"",""35"",""35"",""35"",""36"",""36"",""36"",""37"",""37"",""37"",""38"",""38"",""38"",""39"",""39"",""39"",""40"",""40"",""40"",""41"",""41"",""41"",""42"",""42"",""42"",""43"",""43"",""43"",""44"",""44"",""44"",""45"",""45"",""45"",""46"",""46"",""46"",""47"",""47"",""47"",""48"",""48"",""48"",""49"",""49"",""49"",""50"",""50"",""50"""
"[min],""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""0"",""20"",""0"",""2"",""20"",""0"",""4"",""20"",""0"",""1"",""20"",""0"",""2"",""20"",""0"",""1"",""20"",""0"",""4"",""20"",""0"",""2"",""20"",""0"",""3"",""20"",""0"",""2"",""20"",""0"",""4"",""20"",""0"",""5"",""20"",""0"",""8"",""20"",""0"",""3"",""20"",""0"",""1"",""20"",""0"",""7"",""20"",""0"",""3"",""20"",""0"",""3"",""20"",""0"",""6"",""20"",""0"",""3"",""20"",""0"",""5"",""20"",""0"",""4"",""20"",""0"",""6"",""20"",""0"",""5"",""20"",""0"",""8"",""20"",""0"",""4"",""20"",""0"",""8"",""20"",""0"",""3"",""20"",""0"",""6"",""20"",""0"",""6"",""20"",""0"",""5"",""20"",""0"",""5"",""20"",""0"",""8"",""20"",""0"",""6"",""20"",""0"",""8"",""20"",""0"",""6"",""20"",""0"",""7"",""20"",""0"",""5"",""20"",""0"",""7"",""20"",""0"",""6"",""20"",""0"",""5"",""20"",""0"""
"[max],""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"",""10"",""20"",""999"""
"[mean],""2.544"",""20"",""499.5"",""2.404"",""20"",""499.5"",""2.683"",""20"",""499.5"",""1.386"",""20"",""499.5"",""3.142"",""20"",""499.5"",""1.953"",""20"",""499.5"",""3.676"",""20"",""499.5"",""2.906"",""20"",""499.5"",""2.081"",""20"",""499.5"",""1.976"",""20"",""499.5"",""4.715"",""20"",""499.5"",""6.482"",""20"",""499.5"",""5.251"",""20"",""499.5"",""5.058"",""20"",""499.5"",""4.206"",""20"",""499.5"",""6.774"",""20"",""499.5"",""6.038"",""20"",""499.5"",""6.334"",""20"",""499.5"",""4.805"",""20"",""499.5"",""6.148"",""20"",""499.5"",""6.774"",""20"",""499.5"",""8.762"",""20"",""499.5"",""5.296"",""20"",""499.5"",""5.322"",""20"",""499.5"",""9.314"",""20"",""499.5"",""5.952"",""20"",""499.5"",""6.51"",""20"",""499.5"",""8.012"",""20"",""499.5"",""5.754"",""20"",""499.5"",""6.415"",""20"",""499.5"",""5.348"",""20"",""499.5"",""8.757"",""20"",""499.5"",""8.819"",""20"",""499.5"",""8.83"",""20"",""499.5"",""6.733"",""20"",""499.5"",""8.701"",""20"",""499.5"",""5.661"",""20"",""499.5"",""8.049"",""20"",""499.5"",""7.464"",""20"",""499.5"",""6.665"",""20"",""499.5"",""7.372"",""20"",""499.5"",""8.695"",""20"",""499.5"",""7.8"",""20"",""499.5"",""8.628"",""20"",""499.5"",""7.651"",""20"",""499.5"",""7.901"",""20"",""499.5"",""7.412"",""20"",""499.5"",""8.578"",""20"",""499.5"",""8.508"",""20"",""499.5"",""7.785"",""20"",""499.5"""
"[steps],""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"",""999"""

"[all run data],""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"",""count comiloes"",""count limpadores"",""ticks"""
",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"",""10"",""20"",""0"""
",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"",""10"",""20"",""1"""
",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""9"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"",""10"",""20"",""2"""
",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""9"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"",""10"",""20"",""3"""
",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""9"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""9"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"",""10"",""20"",""4"""
",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""9"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""9"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"",""10"",""20"",""5"""
",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""9"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""9"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"",""10"",""20"",""6"""
